feat_3,feat_4
5,71
6,7
1,56
1,43
6,81
9,59
2,58
3,8
3,77
4,7
8,50
1,58
9,78
5,7
4,66
1,59
0,73
1,81
0,64
5,30
1,8
5,38
10,63
4,35
8,48
7,93
3,35
9,13
6,8
4,79
4,58
1,65
-1,71
1,21
3,80
0,51
2,61
3,15
2,15
4,67
4,74
1,26
3,39
2,21
8,5
9,32
4,15
6,24
2,82
0,12
5,64
7,32
4,22
3,23
4,49
8,37
7,58
1,75
2,27
0,20
8,2
8,41
3,6
10,84
2,58
9,29
8,22
2,75
8,31
7,27
5,6
0,82
5,35
3,49
5,73
1,28
6,72
6,62
4,62
2,28
-1,68
6,2
9,39
4,43
2,37
7,83
4,79
1,29
0,11
8,43
8,61
2,7
2,63
2,75
7,65
7,-2
-1,12
0,54
5,67
3,-2
5,15
9,18
5,36
-1,39
3,73
6,59
6,78
2,91
1,-5
8,7
4,63
1,66
2,34
5,60
3,38
8,56
1,6
2,62
